sample_id,detector,link_strategy,route_label,keep_fraction,activated,activation_reason,fragmented_node_fraction,component_count,protected_components,removed_components,removed_nodes,removed_edges,baseline_nodes,shadow_nodes,estimated_total_nodes,baseline_edge_tp,shadow_edge_tp,edge_tp_delta,baseline_edge_fp,shadow_edge_fp,baseline_edge_fn,shadow_edge_fn,baseline_edge_jaccard,shadow_edge_jaccard,edge_jaccard_delta,baseline_adjusted_edge_jaccard,shadow_adjusted_edge_jaccard,adjusted_edge_delta,baseline_node_recall,shadow_node_recall,node_recall_delta,baseline_division_tp,shadow_division_tp,division_tp_delta,baseline_division_fp,shadow_division_fp,source_zero_perturbation
44b6_d2f34f90,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.2936811661943852,6093,2210,0,0,0,34231,34231,24074,93,93,0,99,99,188,188,0.24473684210526317,0.24473684210526317,0.0,0.23441121235838622,0.23441121235838622,0.0,0.6254416961130742,0.6254416961130742,0.0,0,0,0,19,19,True
44b6_0db75fae,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.24980675083741305,2367,817,0,0,0,15524,15524,15335,123,123,0,45,45,28,28,0.6275510204081632,0.6275510204081632,0.0,0.6267775796330922,0.6267775796330922,0.0,0.9490445859872612,0.9490445859872612,0.0,0,0,0,22,22,True
44b6_a2bb48bb,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.6590141988407365,23647,0,2107,2107,0,70217,68110,60613,162,167,5,123,119,248,243,0.30393996247654786,0.31568998109640833,0.01175001861986047,0.2991240988835484,0.31178532732860315,0.01266122844505474,0.7764423076923077,0.7620192307692307,-0.014423076923076983,0,0,0,0,0,True
44b6_cf8fed6b,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,False,fragmentation_below_gate,0.4210777780571831,8863,0,0,0,0,39767,39767,43729,168,168,0,15,15,20,20,0.8275862068965517,0.8275862068965517,0.0,0.8350844267317277,0.8350844267317277,0.0,1.0,1.0,0.0,0,0,0,0,0,True
44b6_5740d24b,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.7756082997462308,13911,0,1005,1005,0,33495,32490,19730,139,139,0,17,17,31,31,0.7433155080213903,0.7433155080213903,0.0,0.6914567246057064,0.695242999747934,0.003786275142227624,0.9595375722543352,0.9595375722543352,0.0,0,0,0,0,0,True
44b6_2f31fc2f,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.7861873483960644,14636,0,1101,1101,0,36691,35590,24368,23,25,2,32,32,62,60,0.19658119658119658,0.21367521367521367,0.01709401709401709,0.18664000286209742,0.20383500008417935,0.017194997222081926,0.8089887640449438,0.8089887640449438,0.0,0,0,0,0,0,True
44b6_a21120c2,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.36754791303689116,2883,0,0,0,0,13201,13201,23040,182,182,0,28,28,104,104,0.5796178343949044,0.5796178343949044,0.0,0.6043698303697805,0.6043698303697805,0.0,0.7736486486486487,0.7736486486486487,0.0,0,0,0,0,0,True
44b6_d78e09d9,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,False,fragmentation_below_gate,0.4181052381799846,3823,0,0,0,0,16857,16857,22259,302,302,0,64,64,149,149,0.5864077669902913,0.5864077669902913,0.0,0.6006392003758053,0.6006392003758053,0.0,0.8466522678185745,0.8466522678185745,0.0,0,0,0,0,0,True
44b6_8f5ab931,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.22904161863497238,3683,1247,0,0,0,25157,25157,27571,409,409,0,227,227,195,195,0.49217809867629364,0.49217809867629364,0.0,0.4964874016765641,0.4964874016765641,0.0,0.9155844155844156,0.9155844155844156,0.0,0,0,0,94,94,True
44b6_deabac95,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.6418518518518519,3249,0,243,243,0,8100,7857,13989,38,38,0,10,10,86,86,0.2835820895522388,0.2835820895522388,0.0,0.2955201474932863,0.2960127520237116,0.0004926045304252669,0.42857142857142855,0.42857142857142855,0.0,0,0,0,0,0,True
6bba_907271db,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.46566265060240963,1905,0,0,0,0,6640,6640,7306,588,588,0,132,132,333,333,0.5584045584045584,0.5584045584045584,0.0,0.5634948600182654,0.5634948600182654,0.0,0.7947089947089947,0.7947089947089947,0.0,0,0,0,0,0,True
6bba_67ebd073,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.815541138307284,6329,0,407,407,0,13564,13157,16061,179,179,0,61,61,259,259,0.3587174348697395,0.3587174348697395,0.0,0.3642944066328286,0.3652034284620546,0.000909021829226031,0.6082251082251082,0.6038961038961039,-0.0043290043290042934,0,0,0,0,0,True
6bba_0c7fa718,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.616221943936037,3230,0,311,311,0,10381,10070,13650,318,321,3,105,102,341,338,0.4162303664921466,0.42181340341655715,0.005583036924410534,0.42619855014095853,0.43287634835598043,0.006677798215021902,0.7386363636363636,0.7315340909090909,-0.007102272727272707,0,0,0,0,0,True
6bba_74686d6a,local_maxima,motion_mutual,local_maxima/motion_mutual,0.97,True,fragmentation_gate_passed,0.5978766995716148,3344,0,322,322,0,10738,10416,29803,11,13,2,13,11,565,563,0.01867572156196944,0.022146507666098807,0.0034707861041293683,0.019870408779964096,0.02358714902476289,0.0037167402447987954,0.052901023890784986,0.052901023890784986,0.0,0,0,0,0,0,True
6bba_91951b3a,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.4954829095650554,3343,0,0,0,0,10737,10737,11907,688,688,0,239,239,460,460,0.4960346070656092,0.4960346070656092,0.0,0.5009087188508343,0.5009087188508343,0.0,0.8367003367003367,0.8367003367003367,0.0,0,0,0,0,0,True
6bba_2819ca14,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.4495284666433811,1652,0,0,0,0,5726,5726,5534,695,695,0,120,120,254,254,0.6501403180542563,0.6501403180542563,0.0,0.6478846812442379,0.6478846812442379,0.0,0.8975659229208925,0.8975659229208925,0.0,0,0,0,0,0,True
6bba_afb141ff,components,greedy,components/greedy,0.97,False,fragmentation_below_gate,0.4928145036480212,1224,0,0,0,0,4523,4523,6054,445,445,0,44,44,181,181,0.664179104477612,0.664179104477612,0.0,0.6809755730761456,0.6809755730761456,0.0,0.8409785932721713,0.8409785932721713,0.0,0,0,0,0,0,True
6bba_268e1230,components,greedy,components/greedy,0.97,True,fragmentation_gate_passed,0.6474898236092266,1501,0,111,111,0,3685,3574,5107,298,301,3,56,53,311,308,0.4481203007518797,0.45468277945619334,0.006562478704313646,0.46059782312644737,0.4683312756556518,0.007733452529204432,0.6115444617784711,0.6068642745709828,-0.004680187207488307,0,0,0,0,0,True
6bba_6479435d,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.3297685962479013,5266,1780,0,0,0,27398,27398,23453,272,272,0,236,236,308,308,0.3333333333333333,0.3333333333333333,0.0,0.32772637473528615,0.32772637473528615,0.0,0.7390599675850892,0.7390599675850892,0.0,0,0,0,91,91,True
6bba_f8ffd5e7,cfar_sidelobe,bipartite,cfar_sidelobe/bipartite,0.97,False,fragmentation_below_gate,0.21110679379502048,4434,1692,0,0,0,33457,33457,29540,225,225,0,145,145,145,145,0.4368932038834951,0.4368932038834951,0.0,0.431100005915954,0.431100005915954,0.0,0.8791773778920309,0.8791773778920309,0.0,0,0,0,60,60,True
