case_id,sample_id,t,source_detector,source_link_strategy,v19_parent_frame_count,v19_daughter_frame_count
DEV-44b6_5f15d135-t36-p125000000011,44b6_5f15d135,36,local_maxima,motion_mutual,475,480
DEV-44b6_706092f0-t49-p446000000015,44b6_706092f0,49,cfar_sidelobe,bipartite,602,581
DEV-44b6_74d0c52e-t58-p296000000021,44b6_74d0c52e,58,cfar_sidelobe,bipartite,268,254
DEV-44b6_aaf8b0ea-t61-p390000000000,44b6_aaf8b0ea,61,cfar_sidelobe,bipartite,397,418
DEV-44b6_c50204e0-t28-p171000000043,44b6_c50204e0,28,cfar_sidelobe,bipartite,678,651
DEV-44b6_c50204e0-t65-p208000000033,44b6_c50204e0,65,cfar_sidelobe,bipartite,842,844
DEV-6bba_2312ac41-t10-p11000190,6bba_2312ac41,10,components,greedy,181,183
DEV-6bba_2312ac41-t19-p20000316,6bba_2312ac41,19,components,greedy,124,138
DEV-6bba_2819ca14-t61-p62000719,6bba_2819ca14,61,components,greedy,55,55
DEV-6bba_3abfe10a-t81-p82001296,6bba_3abfe10a,81,cfar_sidelobe,bipartite,585,591
DEV-6bba_3c5691b6-t22-p23000172,6bba_3c5691b6,22,components,greedy,46,41
DEV-6bba_3c5691b6-t6-p7000054,6bba_3c5691b6,6,components,greedy,47,45
DEV-6bba_3fda6b25-t28-p29000542,6bba_3fda6b25,28,components,greedy,135,129
DEV-6bba_57b7cc1e-t12-p13000378,6bba_57b7cc1e,12,cfar_sidelobe,bipartite,864,866
DEV-6bba_57b7cc1e-t23-p24000720,6bba_57b7cc1e,23,cfar_sidelobe,bipartite,868,868
DEV-6bba_57b7cc1e-t77-p78002270,6bba_57b7cc1e,77,cfar_sidelobe,bipartite,853,854
DEV-6bba_5c039895-t10-p11000170,6bba_5c039895,10,components,greedy,96,100
DEV-6bba_5c039895-t52-p53000762,6bba_5c039895,52,components,greedy,74,71
DEV-6bba_5c039895-t58-p59000855,6bba_5c039895,58,components,greedy,86,83
DEV-6bba_5c824876-t2-p3000057,6bba_5c824876,2,components,greedy,101,111
DEV-6bba_6321a359-t8-p9000094,6bba_6321a359,8,components,greedy,36,40
DEV-6bba_67ebd073-t86-p87000772,6bba_67ebd073,86,components,greedy,51,42
DEV-6bba_7d3058ae-t32-p33000475,6bba_7d3058ae,32,components,greedy,56,61
DEV-6bba_7d3058ae-t83-p84001401,6bba_7d3058ae,83,components,greedy,66,70
DEV-6bba_87289e13-t77-p78001026,6bba_87289e13,77,components,greedy,60,60
DEV-6bba_8b7818bf-t3-p4000023,6bba_8b7818bf,3,components,greedy,45,37
DEV-6bba_8b7818bf-t33-p34000238,6bba_8b7818bf,33,components,greedy,44,43
DEV-6bba_907271db-t96-p97001173,6bba_907271db,96,components,greedy,46,40
DEV-6bba_9e23430b-t89-p90001032,6bba_9e23430b,89,components,greedy,35,45
DEV-6bba_cdcfe533-t28-p29000464,6bba_cdcfe533,28,components,greedy,218,214
DEV-6bba_cdcfe533-t48-p49000935,6bba_cdcfe533,48,components,greedy,222,212
DEV-6bba_cdcfe533-t52-p53001039,6bba_cdcfe533,52,components,greedy,192,196
DEV-6bba_cdcfe533-t86-p87002049,6bba_cdcfe533,86,components,greedy,235,220
DEV-6bba_d2b9fc0c-t72-p73000666,6bba_d2b9fc0c,72,components,greedy,210,192
DEV-6bba_d2b9fc0c-t78-p79000759,6bba_d2b9fc0c,78,components,greedy,201,190
DEV-6bba_d3da753b-t63-p64000722,6bba_d3da753b,63,components,greedy,112,117
DEV-6bba_debd7bfa-t12-p13000353,6bba_debd7bfa,12,components,greedy,159,139
DEV-6bba_debd7bfa-t26-p27000673,6bba_debd7bfa,26,components,greedy,144,147
DEV-6bba_debd7bfa-t36-p37000853,6bba_debd7bfa,36,components,greedy,146,140
DEV-6bba_debd7bfa-t37-p38000863,6bba_debd7bfa,37,components,greedy,140,135
DEV-6bba_ef7b4f7e-t14-p15000245,6bba_ef7b4f7e,14,components,greedy,45,53
DEV-6bba_ef7b4f7e-t89-p90001375,6bba_ef7b4f7e,89,components,greedy,37,42
DEV-6bba_fc5f39dc-t24-p25000064,6bba_fc5f39dc,24,cfar_sidelobe,bipartite,110,124
DEV-6bba_fc5f39dc-t54-p55000245,6bba_fc5f39dc,54,cfar_sidelobe,bipartite,208,201
DEV-6bba_fe670320-t0-p1000014,6bba_fe670320,0,components,greedy,34,45
DEV-6bba_fe670320-t66-p67000712,6bba_fe670320,66,components,greedy,112,105
